X Y Z U V W
2.639864 -2.902714 -9.190000 0.216204 -0.235738 -0.947462
3.286985 -2.031469 -9.190000 0.308167 -0.228893 -0.923386
3.779953 -0.949890 -9.190000 0.311335 -0.081408 -0.946807
3.838530 -0.725870 -9.190000 0.356822 0.000000 -0.934172
3.838530 0.725870 -9.190000 0.356822 0.000000 -0.934172
3.779953 0.949890 -9.190000 0.311335 0.081408 -0.946807
3.286985 2.031469 -9.190000 0.308167 0.228893 -0.923386
2.639864 2.902714 -9.190000 0.216204 0.235738 -0.947462
2.568680 2.967999 -9.190000 0.216204 0.235738 -0.947462
2.188068 3.207365 -9.190000 0.214847 0.371628 -0.903180
1.426918 3.647403 -9.190000 0.214847 0.371628 -0.903180
1.316147 3.695046 -9.190000 0.180319 0.419240 -0.889788
0.562460 3.840763 -9.190000 0.050000 0.338698 -0.939566
0.000000 3.923797 -9.190000 0.050000 0.338698 -0.939566
-0.562460 3.840763 -9.190000 -0.050000 0.338698 -0.939566
-1.316147 3.695046 -9.190000 -0.082070 0.424492 -0.901705
-1.426918 3.647403 -9.190000 -0.214847 0.371628 -0.903180
-2.188068 3.207365 -9.190000 -0.214847 0.371628 -0.903180
-2.568680 2.967999 -9.190000 -0.181151 0.288045 -0.940327
-2.639864 2.902714 -9.190000 -0.308167 0.228893 -0.923386
-3.286985 2.031469 -9.190000 -0.308167 0.228893 -0.923386
-3.779953 0.949890 -9.190000 -0.311335 0.081408 -0.946807
-3.838530 0.725870 -9.190000 -0.311335 0.081408 -0.946807
-3.838530 -0.725870 -9.190000 -0.311335 -0.081408 -0.946807
-3.779953 -0.949890 -9.190000 -0.311335 -0.081408 -0.946807
-3.286985 -2.031469 -9.190000 -0.350587 -0.159793 -0.922797
-2.639864 -2.902714 -9.190000 -0.216204 -0.235738 -0.947462
-2.568680 -2.967999 -9.190000 -0.181151 -0.288045 -0.940327
-2.188068 -3.207365 -9.190000 -0.181151 -0.288045 -0.940327
-1.426918 -3.647403 -9.190000 -0.214847 -0.371628 -0.903180
-1.316147 -3.695046 -9.190000 -0.082070 -0.424492 -0.901705
-0.562460 -3.840763 -9.190000 -0.050000 -0.338698 -0.939566
0.000000 -3.923797 -9.190000 -0.050000 -0.338698 -0.939566
0.000000 -4.338453 -8.990000 0.050171 -0.465071 -0.883850
0.420022 -4.293142 -8.990000 0.082070 -0.424492 -0.901705
1.314615 -4.120182 -8.990000 0.180319 -0.419240 -0.889788
1.843027 -3.892908 -8.990000 0.180319 -0.419240 -0.889788
2.627339 -3.439479 -8.990000 0.306798 -0.364801 -0.879088
2.925791 -3.188480 -8.990000 0.343197 -0.312401 -0.885789
3.475136 -2.584983 -8.990000 0.308167 -0.228893 -0.923386
3.697716 -2.285314 -8.990000 0.350587 -0.159793 -0.922797
3.910686 -1.818055 -8.990000 0.350587 -0.159793 -0.922797
4.225867 -0.965569 -8.990000 0.437842 -0.161879 -0.884358
4.278997 -0.638565 -8.990000 0.443056 0.000000 -0.896494
4.278997 0.638565 -8.990000 0.443056 0.000000 -0.896494
4.225867 0.965569 -8.990000 0.482336 0.078367 -0.872474
3.910686 1.818055 -8.990000 0.350587 0.159793 -0.922797
3.697716 2.285314 -8.990000 0.350587 0.159793 -0.922797
3.475136 2.584983 -8.990000 0.343197 0.312401 -0.885789
2.925791 3.188480 -8.990000 0.306798 0.364801 -0.879088
2.627339 3.439479 -8.990000 0.214847 0.371628 -0.903180
1.843027 3.892908 -8.990000 0.214847 0.371628 -0.903180
1.314615 4.120182 -8.990000 0.180319 0.419240 -0.889788
0.420022 4.293142 -8.990000 0.050171 0.465071 -0.883850
0.000000 4.338453 -8.990000 0.050171 0.465071 -0.883850
-0.420022 4.293142 -8.990000 -0.082070 0.424492 -0.901705
-1.314615 4.120182 -8.990000 -0.082070 0.424492 -0.901705
-1.843027 3.892908 -8.990000 -0.214847 0.371628 -0.903180
-2.627339 3.439479 -8.990000 -0.214847 0.371628 -0.903180
-2.925791 3.188480 -8.990000 -0.343197 0.312401 -0.885789
-3.475136 2.584983 -8.990000 -0.343197 0.312401 -0.885789
-3.697716 2.285314 -8.990000 -0.308167 0.228893 -0.923386
-3.910686 1.818055 -8.990000 -0.350587 0.159793 -0.922797
-4.225867 0.965569 -8.990000 -0.437842 0.161879 -0.884358
-4.278997 0.638565 -8.990000 -0.443056 -0.000000 -0.896494
-4.278997 -0.638565 -8.990000 -0.443056 -0.000000 -0.896494
-4.225867 -0.965569 -8.990000 -0.437842 -0.161879 -0.884358
-3.910686 -1.818055 -8.990000 -0.350587 -0.159793 -0.922797
-3.697716 -2.285314 -8.990000 -0.308167 -0.228893 -0.923386
-3.475136 -2.584983 -8.990000 -0.308167 -0.228893 -0.923386
-2.925791 -3.188480 -8.990000 -0.306798 -0.364801 -0.879088
-2.627339 -3.439479 -8.990000 -0.214847 -0.371628 -0.903180
-1.843027 -3.892908 -8.990000 -0.180319 -0.419240 -0.889788
-1.314615 -4.120182 -8.990000 -0.082070 -0.424492 -0.901705
-0.420022 -4.293142 -8.990000 -0.050171 -0.465071 -0.883850
0.000000 -4.338453 -8.990000 0.050171 -0.465071 -0.883850
0.000000 -4.718545 -8.790000 0.050171 -0.465071 -0.883850
0.943628 -4.616748 -8.790000 0.050171 -0.465071 -0.883850
1.313082 -4.545318 -8.790000 0.180319 -0.419240 -0.889788
2.259135 -4.138413 -8.790000 0.180319 -0.419240 -0.889788
2.611694 -3.934591 -8.790000 0.306798 -0.364801 -0.879088
3.256294 -3.392481 -8.790000 0.343197 -0.312401 -0.885789
3.855313 -2.734414 -8.790000 0.343197 -0.312401 -0.885789
4.028541 -2.489775 -8.790000 0.427026 -0.302377 -0.852184
4.176210 -2.192499 -8.790000 0.437842 -0.161879 -0.884358
4.554559 -1.169158 -8.790000 0.482336 -0.078367 -0.872474
4.683684 -0.374418 -8.790000 0.482336 -0.078367 -0.872474
4.683684 0.374418 -8.790000 0.482336 0.078367 -0.872474
4.554559 1.169158 -8.790000 0.482336 0.078367 -0.872474
4.176210 2.192499 -8.790000 0.437842 0.161879 -0.884358
4.028541 2.489775 -8.790000 0.469405 0.233171 -0.851640
3.855313 2.734414 -8.790000 0.427026 0.302377 -0.852184
3.256294 3.392481 -8.790000 0.306798 0.364801 -0.879088
2.611694 3.934591 -8.790000 0.214847 0.371628 -0.903180
2.259135 4.138413 -8.790000 0.214847 0.371628 -0.903180
1.313082 4.545318 -8.790000 0.180319 0.419240 -0.889788
0.943628 4.616748 -8.790000 0.082070 0.424492 -0.901705
0.000000 4.718545 -8.790000 0.050171 0.465071 -0.883850
-0.943628 4.616748 -8.790000 -0.082070 0.424492 -0.901705
-1.313082 4.545318 -8.790000 -0.082070 0.424492 -0.901705
-2.259135 4.138413 -8.790000 -0.180319 0.419240 -0.889788
-2.611694 3.934591 -8.790000 -0.214847 0.371628 -0.903180
-3.256294 3.392481 -8.790000 -0.306798 0.364801 -0.879088
-3.855313 2.734414 -8.790000 -0.343197 0.312401 -0.885789
-4.028541 2.489775 -8.790000 -0.427026 0.302377 -0.852184
-4.176210 2.192499 -8.790000 -0.469405 0.233171 -0.851640
-4.554559 1.169158 -8.790000 -0.482336 0.078367 -0.872474
-4.683684 0.374418 -8.790000 -0.482336 0.078367 -0.872474
-4.683684 -0.374418 -8.790000 -0.482336 -0.078367 -0.872474
