time,temperature,duty_cycle,isOn
3.0994415283203125e-06,55.132401064689645,100,True
0.5011518001556396,55.04438692605174,100,True
1.0020999908447266,55.04989057898956,100,True
1.5030109882354736,55.01135723147195,100,True
2.0039682388305664,55.04438692605174,100,True
2.505181312561035,55.30266112856384,100,True
3.006387710571289,55.60387940431798,100,True
3.5075879096984863,56.056418858646566,100,True
4.008796691894531,56.603916051564,100,True
4.5099992752075195,57.196379556862894,100,True
5.011216402053833,57.92895335430774,100,True
5.512435674667358,58.72992373827191,100,True
6.013645648956299,59.555961964817755,100,True
6.514816999435425,60.53145464438148,100,True
7.015747308731079,61.534540488214475,100,True
7.516654014587402,62.60075686937989,100,True
8.017735719680786,63.749370509936796,100,True
8.518638610839844,64.84853946170603,100,True
9.019540309906006,66.04973250522005,100,True
9.52043104171753,67.28232282492382,100,True
10.021330118179321,68.56146889457108,100,True
10.522240400314331,69.80418153124526,100,True
11.023155689239502,71.11451552722184,100,True
11.524102926254272,72.43934088494649,100,True
12.025298118591309,73.75550989685559,100,True
12.526411771774292,75.14665683778497,100,True
13.027596950531006,76.48799733138969,100,True
13.528772115707397,77.8874397209035,100,True
14.029959201812744,79.36104827685887,100,True
14.531162738800049,80.65300817343467,100,True
15.032390356063843,82.05095260522205,100,True
15.53358769416809,83.44947655627504,100,True
16.034799575805664,84.83017887899399,100,True
16.536069631576538,86.24356396353562,100,True
17.037227869033813,87.6765309358978,100,True
17.538406372070312,89.07035746597364,100,True
18.039602041244507,90.51155701208381,100,True
18.540802478790283,91.86409778788772,100,True
19.04200768470764,93.33363112179774,100,True
19.543208837509155,94.6995913306614,100,True
20.04440426826477,96.13970101947399,100,True
20.545608520507812,97.52861600285269,100,True
21.046804428100586,98.95231904631629,100,True
21.548068046569824,100.34670115821285,100,True
22.049272298812866,101.76729398199751,100,True
22.55047369003296,103.19316594766048,100,True
23.051677227020264,104.56720926083773,100,True
23.5528826713562,106.0052269429404,100,True
24.0540554523468,107.39704675122323,100,True
24.555232524871826,108.73448641239764,100,True
25.056408405303955,110.17034616190512,100,True
25.557589292526245,111.59009830413214,100,True
26.05881094932556,112.93480871338869,100,True
26.56015944480896,114.34523971744972,100,True
27.06136178970337,115.7380389891839,100,True
27.56256628036499,117.09839983813407,100,True
28.06377649307251,118.52955528921723,100,True
28.564960479736328,119.89977144981202,100,True
29.06614089012146,121.29289710395705,100,True
29.567322254180908,122.67282945803481,100,True
30.068515300750732,124.0231163561798,100,True
30.569703817367554,125.4121063055124,100,True
31.070880651474,126.76995332647306,100,True
31.572136163711548,128.07769571270012,100,True
32.0733425617218,129.46601359986136,100,True
32.574568033218384,130.78531175770763,100,True
33.07577323913574,132.11834564914028,100,True
33.57698130607605,133.47471632126275,100,True
34.078190088272095,134.75391562528182,100,True
34.57939076423645,136.0445265826488,100,True
35.08059763908386,137.43419548438908,100,True
35.581801652908325,138.75083233658552,100,True
36.083012342453,140.10042239270547,100,True
36.58427929878235,141.4430534442467,100,True
37.085493326187134,142.71321098901183,100,True
37.586703062057495,144.0695448286969,100,True
38.087968826293945,145.3828285061025,100,True
38.58914303779602,146.6836796779034,100,True
39.09005260467529,147.88761162422782,100,True
39.59097075462341,149.24139031742828,100,True
40.09189963340759,150.4946117090974,100,True
40.592809438705444,151.74086553003946,100,True
41.093716859817505,153.14895492340293,100,True
41.5946307182312,154.39520525351497,100,True
42.095537424087524,155.83809266723955,100,True
42.59644889831543,156.9548306069409,100,True
43.09735703468323,158.29919830479633,100,True
43.598355531692505,159.4869790457489,100,True
44.099562644958496,160.77939699795974,100,True
44.60075855255127,162.04331417482553,100,True
45.10195803642273,163.2917258883224,100,True
45.60315251350403,164.5390772362012,100,True
46.10437631607056,165.7341080605745,100,True
46.605570554733276,167.04438712205098,100,True
47.10677218437195,168.24830906138828,100,True
47.608017921447754,169.48182704037106,100,True
48.10921883583069,170.74644419501868,100,True
48.61045050621033,171.96764524499156,100,True
49.11167573928833,173.19983310502437,100,True
49.61287212371826,174.40312876340982,100,True
50.11407160758972,175.55422124836042,100,True
50.615272760391235,176.75325921818518,100,True
51.116474628448486,177.9173601963421,100,True
51.61770558357239,179.3068127517132,100,True
52.1189284324646,180.5098010563297,100,True
52.62023949623108,181.6729982706396,100,True
53.12144184112549,182.9109815824416,100,True
53.622637033462524,184.05903935835016,100,True
54.12427592277527,185.38262684071202,100,True
54.625489950180054,186.53815112729848,100,True
55.126718044281006,187.77274737622577,99.11222177392966,True
55.62798047065735,188.98483751682176,89.2497016572062,True
56.129186391830444,189.98125456929887,100,True
56.630385398864746,191.30374637319568,55.03036908617898,True
57.13158869743347,192.40418951961982,66.18789055762872,True
57.63296389579773,193.70419952002771,33.30261313384378,True
58.13417387008667,194.82838926194734,39.56698036182904,True
58.63537836074829,196.03908753778802,18.83206064117094,True
59.13658404350281,197.09118520036355,24.128830205078827,True
59.63778734207153,198.35723077296996,0,True
60.13903832435608,199.42572879959283,0,True
60.640270948410034,200.71777538526476,0,False
61.14148569107056,201.87120220919098,0,False
61.64268708229065,203.261968566299,0,False
62.14395213127136,203.82890380135643,2.7335984703903122,False
62.645158529281616,204.90889885571636,0,False
63.14637231826782,205.53101059693586,0,False
63.647578716278076,206.45960634805937,0,False
64.14879703521729,207.13859125182302,0,False
64.65000462532043,207.17657299534102,14.19679055723181,False
65.15122747421265,207.21458239770993,12.005954145734263,False
65.65245056152344,207.74963978697838,0,False
66.15367889404297,208.29023270218147,0,False
66.65488505363464,207.98063832005653,33.009699618605765,False
67.15580105781555,207.9035253168027,8.606633038681673,False
67.65671277046204,208.29023270218147,0,False
68.15762829780579,207.59620611771186,69.27985040189935,False
68.65853714942932,207.9035253168027,0,False
69.15944647789001,207.48142588724295,39.43154988984077,False
69.66035628318787,207.13859125182302,33.15964475481542,False
70.1612708568573,206.94909608258007,18.008285843732125,False
70.66218662261963,206.4970966916651,47.10303929367532,False
71.16314840316772,205.82636342841914,74.17298108758442,False
71.66413736343384,205.6415715834948,26.108384890923084,False
72.16536688804626,205.12761882165591,62.79252816445488,False
72.66658186912537,204.69109550508966,58.25891445584836,False
73.16779470443726,204.36609321982434,49.28996542846955,False
73.66900444030762,203.68658773927916,90.52566476907742,False
74.17020869255066,203.2267401694337,72.40358014556827,False
74.6714174747467,202.77093801198066,75.86437678838882,False
75.17259192466736,202.24995141075897,87.01711799775947,False
75.67375016212463,201.80263585438502,83.68819072774127,False
76.17860794067383,201.29126820210718,94.49172873188593,False
76.67978549003601,200.8521426181581,91.83610170686234,False
77.18095707893372,200.35006031648658,100,False
77.68213939666748,199.72103021853025,100,True
78.18347001075745,199.09959100356832,100,True
78.68465566635132,198.4534545438239,100,True
79.18584084510803,198.06963608160828,100,True
79.68700671195984,198.03778028900427,80.91831987398498,True
80.18826293945312,197.43624582747702,100,True
80.68944263458252,197.31050048977085,98.87476658905265,True
81.19431781768799,197.49923426089595,66.38267463644415,True
81.69551515579224,197.53075749833215,82.23244770875723,True
82.19677138328552,197.5938621287885,79.05452999005216,True
82.69797563552856,197.84705942487233,58.09762365967639,True
83.19917273521423,198.48556921583327,14.15032944672469,True
83.70437574386597,198.7109355359123,52.94440945994438,True
84.20557570457458,199.22979817572144,18.666450800107654,True
84.70678329467773,199.81984157162998,5.709745894188302,True
85.20805406570435,200.75133439804506,0,False
85.70925807952881,201.32520232097295,0,False
86.2105004787445,202.18088124961776,0,False
86.71171283721924,202.9107580349817,0,False
87.212975025177,203.36779768690252,0,False
87.71418166160583,203.86454391798253,0,False
88.21538162231445,204.29414589722097,0,False
88.71661067008972,205.12761882165591,0,False
89.21781206130981,205.12761882165591,4.239729775998569,False
89.7190511226654,205.3105909665485,0,False
90.22027564048767,205.3105909665485,0,False
90.72147560119629,205.49420907677063,0,False
91.22267150878906,205.2007304405833,27.443750304900465,False
91.72396731376648,205.42068403922508,0,False
92.2251787185669,205.45743356918575,0,False
92.72639083862305,204.79988306077303,63.843019985578465,False
93.2275857925415,204.7273327198892,5.024369665295761,False
93.7287905216217,204.54639890109235,16.506752559903795,False
94.2300009727478,204.29414589722097,25.067390580090525,False
94.73121047019958,203.6155759043694,73.47688749403345,False
95.2324116230011,203.50924018291636,16.574638807321882,False
95.73361659049988,203.15635515432126,43.908451309978346,False
96.23483371734619,202.70116935071377,57.987037350430725,False
96.73614978790283,202.4230314099903,42.494976873222356,False
